fecha,municipio,casos,lugar
4/2/20,Aguada,1,municipio
4/2/20,Aguadilla,1,municipio
4/2/20,Aguas Buenas,3,municipio
4/2/20,Añasco,2,municipio
4/2/20,Arecibo,5,municipio
4/2/20,Barranquitas,1,municipio
4/2/20,Bayamón,17,municipio
4/2/20,Cabo Rojo,4,municipio
4/2/20,Caguas,16,municipio
4/2/20,Canóvanas,3,municipio
4/2/20,Carolina,12,municipio
4/2/20,Cataño,2,municipio
4/2/20,Cayey,1,municipio
4/2/20,Ceiba,3,municipio
4/2/20,Dorado,3,municipio
4/2/20,Guánica,1,municipio
4/2/20,Guayama,1,municipio
4/2/20,Guaynabo,20,municipio
4/2/20,Gurabo,3,municipio
4/2/20,Hatillo,1,municipio
4/2/20,Hormigueros,2,municipio
4/2/20,Humacao,1,municipio
4/2/20,Isabela,4,municipio
4/2/20,Juana Díaz,2,municipio
4/2/20,Lajas,1,municipio
4/2/20,Lares,1,municipio
4/2/20,Luquillo,3,municipio
4/2/20,Mayaguez,6,municipio
4/2/20,Moca,1,municipio
4/2/20,Ponce,2,municipio
4/2/20,Rio Grande,1,municipio
4/2/20,Sabana Grande,2,municipio
4/2/20,Salinas,8,municipio
4/2/20,San Juan,38,municipio
4/2/20,San Lorenzo,2,municipio
4/2/20,San Sebastián,3,municipio
4/2/20,Toa Alta,6,municipio
4/2/20,Toa Baja,8,municipio
4/2/20,Trujillo Alto,5,municipio
4/2/20,Vega Alta,3,municipio
4/2/20,Vega Baja,2,municipio
4/2/20,Yabucoa,1,municipio
4/2/20,Yauco,5,municipio
4/2/20,New York,4,externo
4/2/20,No Disponible,167,nodisponible
4/1/20,Aguada,1,municipio
4/1/20,Aguas Buenas,3,municipio
4/1/20,Añasco,2,municipio
4/1/20,Arecibo,5,municipio
4/1/20,Barranquitas,1,municipio
4/1/20,Bayamón,14,municipio
4/1/20,Cabo Rojo,3,municipio
4/1/20,Caguas,16,municipio
4/1/20,Canóvanas,3,municipio
4/1/20,Carolina,10,municipio
4/1/20,Cataño,1,municipio
4/1/20,Cayey,1,municipio
4/1/20,Ceiba,3,municipio
4/1/20,Dorado,3,municipio
4/1/20,Guánica,1,municipio
4/1/20,Guaynabo,17,municipio
4/1/20,Gurabo,3,municipio
4/1/20,Hatillo,1,municipio
4/1/20,Hormigueros,2,municipio
4/1/20,Humacao,1,municipio
4/1/20,Isabela,2,municipio
4/1/20,Juana Díaz,2,municipio
4/1/20,Lajas,1,municipio
4/1/20,Lares,1,municipio
4/1/20,Luquillo,1,municipio
4/1/20,Mayagüez,6,municipio
4/1/20,Moca,1,municipio
4/1/20,Ponce,1,municipio
4/1/20,Rio Grande,1,municipio
4/1/20,Sabana Grande,2,municipio
4/1/20,Salinas,1,municipio
4/1/20,San Juan,38,municipio
4/1/20,San Lorenzo,2,municipio
4/1/20,San Sebastián,3,municipio
4/1/20,Toa Alta,5,municipio
4/1/20,Toa Baja,6,municipio
4/1/20,Trujillo Alto,5,municipio
4/1/20,Vega Alta,1,municipio
4/1/20,Vega Baja,2,municipio
4/1/20,Yauco,4,municipio
4/1/20,New York,4,externo
